author_name,repo,commit_count,commit_sec_min,commit_sec_max,contribution_span_days,is_recent_contributor,tier
Vitor George,wri/project-zeno-next,98,1753186381,1757585569,0,False,sponsored
Soumya Ranjan Mohanty,wri/project-zeno-next,3,1757523414,1757575788,0,False,sponsored
Lane Goodman,wri/project-zeno-next,280,1757951299,1768583612,0,False,sponsored
Marc Farra,wri/project-zeno-next,237,1746873865,1769689781,0,False,sponsored
Sanjay Bhangar,wri/project-zeno-next,2,1755774325,1755774325,0,False,sponsored
Sajjad Anwar,wri/project-zeno-next,2,1754989393,1754990486,0,False,sponsored
Tarashish Mishra,wri/project-zeno-next,3,1754284778,1758280250,0,False,sponsored
Daniel da Silva,wri/project-zeno-next,61,1752051054,1757948910,0,False,sponsored
Wille Marcel,wri/project-zeno-next,2,1756245650,1756255296,0,False,sponsored
Will Rynearson,wri/project-zeno-next,55,1753196477,1757683566,0,False,sponsored
Olaf Veerman,osm-seed/osm-seed,2,1529608142,1539094662,0,False,sponsored
Sanjay Bhangar,osm-seed/osm-seed,130,1525431369,1708093916,0,False,sponsored
Sajjad Anwar,osm-seed/osm-seed,53,1530022102,1645176311,0,False,sponsored
Jonas Sølvsteen,EOEPCA/demo,15,1728120966,1769603457,0,False,sponsored
xıʃǝɟ,EOEPCA/demo,1,1769180488,1769180488,0,False,sponsored
Jonas Sølvsteen,EOEPCA/resource-discovery,28,1719300578,1768401906,0,False,sponsored
Sajjad Anwar,OSMCha/osmcha-django,38,1476696685,1485175770,98,False,sponsored
Tarashish Mishra,OSMCha/osmcha-django,5,1697547266,1700822167,37,False,sponsored
Wille Marcel,OSMCha/osmcha-django,797,1438651962,1724854672,3312,False,sponsored
Sajjad Anwar,OSMCha/osmcha-frontend,5,1497883326,1507197415,107,False,sponsored
Tarashish Mishra,OSMCha/osmcha-frontend,2,1699508578,1707718447,95,False,sponsored
Wille Marcel,OSMCha/osmcha-frontend,428,1497643026,1747673939,2893,False,sponsored
Anthony Lukach,source-cooperative/source.coop,296,1743794422,1768580271,0,False,sponsored
Vitor George,Disasters-Learning-Portal/veda-disasters,10,1732019514,1758272947,0,False,sponsored
Brianna Corremonte,Disasters-Learning-Portal/veda-disasters,2,1758719882,1758835350,0,False,sponsored
Sandra Hoang,Disasters-Learning-Portal/veda-disasters,95,1720702650,1747062871,0,False,sponsored
Gjore Milevski,Disasters-Learning-Portal/veda-disasters,58,1729592762,1743158999,0,False,sponsored
Hanbyul Jo,Disasters-Learning-Portal/veda-disasters,30,1715273089,1743152134,0,False,sponsored
Alice Rühl,Disasters-Learning-Portal/veda-disasters,6,1738065931,1741253221,0,False,sponsored
Jeff Albrecht,stac-utils/stac-fastapi,105,1592367245,1714119127,0,False,sponsored
Pete Gadomski,stac-utils/stac-fastapi,29,1668699025,1694007382,292,False,sponsored
David Bitner,stac-utils/stac-fastapi,15,1614708814,1668698135,624,False,sponsored
Anthony Lukach,stac-utils/stac-fastapi,7,1644958397,1768250890,0,False,sponsored
Kyle Barron,stac-utils/stac-fastapi,1,1611974060,1611974060,0,False,sponsored
Daniel Wiesmann,stac-utils/stac-fastapi,2,1641522863,1657726810,187,False,sponsored
Vincent Sarago,stac-utils/stac-fastapi,136,1597193820,1769700560,0,False,sponsored
Matthias Mohr,stac-utils/stac-fastapi,3,1659235417,1712847211,0,False,sponsored
Emmanuel Mathot,stac-utils/pystac,19,1606728206,1623073161,189,False,sponsored
Pete Gadomski,stac-utils/pystac,213,1615497591,1769529885,0,False,sponsored
Julia Signell,stac-utils/pystac,96,1673540508,1758207932,0,False,sponsored
Tarashish Mishra,stac-utils/pystac,1,1651275347,1651275347,0,False,sponsored
Kyle Barron,stac-utils/pystac,7,1610151341,1613761072,41,False,sponsored
Vincent Sarago,stac-utils/pystac,2,1628972729,1689184958,696,False,sponsored
Chuck Daniels,stac-utils/pystac,3,1695762411,1695991821,2,False,sponsored
Alex I. Mandel,stac-utils/pystac,1,1686229285,1686229285,0,False,sponsored
Matthew Hanson,stac-utils/pystac,29,1615498658,1617036064,0,False,sponsored
Matthias Mohr,stac-utils/pystac,5,1654625637,1690920119,0,False,sponsored
